subscriber_id,msisdn,customer_type,segment,status,activation_date,deactivation_date,country,region,city
SUB_0000001,79219647212,B2C_postpaid,Youth,ACTIVE,2026-04-19,,Russia,Moscow,Moscow
SUB_0000002,79203516539,B2C_postpaid,Mass,ACTIVE,2023-08-11,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000003,79920737677,B2C_prepaid,Mass,ACTIVE,2024-06-23,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000004,79807420109,B2B,Mass,ACTIVE,2024-11-30,2025-12-26,Russia,Saint Petersburg,Saint Petersburg
SUB_0000005,79783138783,B2B,Business,ACTIVE,2026-05-29,,Russia,Moscow,Moscow
SUB_0000006,79685306364,B2C_prepaid,Youth,ACTIVE,2025-06-22,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000007,79706457108,B2C_prepaid,Youth,ACTIVE,2024-10-26,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000008,79566937553,B2C_prepaid,Youth,ACTIVE,2024-07-16,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000009,79249294184,B2C_prepaid,Premium,ACTIVE,2025-04-15,,Russia,Moscow,Moscow
SUB_0000010,79879675121,B2C_prepaid,Premium,ACTIVE,2025-07-25,,Russia,Krasnodar Krai,Krasnodar
SUB_0000011,79039757809,B2C_prepaid,Youth,ACTIVE,2025-06-05,2026-10-02,Russia,Krasnodar Krai,Krasnodar
SUB_0000012,79158853192,B2B,Business,ACTIVE,2023-12-09,,Russia,Krasnodar Krai,Krasnodar
SUB_0000013,79355191676,B2C_postpaid,Premium,ACTIVE,2023-08-28,2024-09-19,Russia,Krasnodar Krai,Krasnodar
SUB_0000014,79746462948,B2C_prepaid,Youth,ACTIVE,2023-10-31,2024-07-29,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000015,79637789135,B2C_prepaid,Mass,ACTIVE,2024-11-19,2025-02-12,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000016,79499897119,B2C_postpaid,Mass,ACTIVE,2024-01-01,,Russia,Krasnodar Krai,Krasnodar
SUB_0000017,79230486458,B2C_postpaid,Mass,ACTIVE,2025-10-03,,Russia,Sverdlovsk Oblast,Yekaterinburg
SUB_0000018,79150572961,B2B,Business,ACTIVE,2025-05-25,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000019,79550134465,B2C_postpaid,Mass,ACTIVE,2026-12-14,,Russia,Novosibirsk Oblast,Novosibirsk
SUB_0000020,79545403143,B2C_postpaid,Premium,ACTIVE,2026-11-04,,Russia,Krasnodar Krai,Krasnodar
